Repo: git@github.com:Sheikh20o3/IND320_1_Project.git
Branch: main
Generert: 2025-09-30 14:23:10 CEST

9ed89f5 2025-09-30 | A H Sheikh | IND320: oppdaterer Streamlit + utils; notebook-eksport
0f8fbc9 2025-09-30 | A H Sheikh | Added all plots in notebook, updated explanations, and included Git log export
3451f44 2025-09-29 | A H Sheikh | La til requirements.txt for Streamlit Cloud
c96c5b5 2025-09-28 | A H Sheikh | La til commits_github.txt i Innlevering og IPYNB
8d648f4 2025-09-28 | A H Sheikh | Updated notebooks to use %run utils.ipynb instead of Python import
48b3fa0 2025-09-28 | A H Sheikh | Fix requirements.txt for Streamlit Cloud
e400a3e 2025-09-28 | A H Sheikh | Fix utils.py to use relative path for CSV
0f65672 2025-09-28 | A H Sheikh | Added dataset CSV and restored pages folder for Streamlit Cloud
6df0632 2025-09-28 | A H Sheikh | Moved streamlit_app.py and utils.py back to root for Streamlit Cloud
675022a 2025-09-28 | A H Sheikh | Moved all notebooks and utils.ipynb into same folder, updated imports with %run
d8d2450 2025-09-28 | A H Sheikh | Restored .py files for Streamlit app (misunderstanding, thought only .ipynb were needed)
73fe7c2 2025-09-28 | A H Sheikh | Added Jupytext notebooks (.ipynb) synced with .py files
6b67090 2025-09-27 | A H Sheikh | Translate UI to English + clean Plot page (Plotly)
f949bc1 2025-09-22 | A H Sheikh | Switch plotting to Plotly (teacher feedback)
3a88601 2025-09-18 | A H Sheikh | Fix Plot page: clean code, selectbox & select_slider
f539117 2025-09-18 | A H Sheikh | Slette tester filer
8584a77 2025-09-18 | A H Sheikh | Add multi-page Streamlit app (home + pages), utils, requirements, data
2d46512 2025-09-18 | A H Sheikh | Update streamlit app
ae64149 2025-09-18 | A H Sheikh | streamlit_app.py
30be750 2025-09-18 | A H Sheikh | Add Funker_Nye.py
8a7ab48 2025-09-18 | A H Sheikh | Initial commit
